3626	бакалейщик	0.5131205916
55391	дуботолк	0.5132915378
26647	нарий	0.5135034323
36383	портки	0.5135195851
46407	турник	0.5135225654
44182	шестигранник	0.513582468
29628	оплечье	0.513769269
50109	водомер	0.5138456821
21234	лохмач	0.5139685869
63837	сусаль	0.5139911175
63256	сушитель	0.5140606165
51889	жакетик	0.5140994787
10032	еван	0.51432091
23756	маслопровод	0.5144115686
56999	говельщик	0.5144972205
63694	селитроварня	0.5145748854
29188	ослоп	0.514600873
43218	шифер	0.5146455169
26533	нарядчик	0.5147506595
8221	дроворуб	0.5149844289
54303	булаш	0.5151494145
23872	мыловар	0.5152856708
2099	ануар	0.5154641271
37897	рукомойник	0.5156456828
43547	сосновик	0.5156780481
55486	дымоволок	0.5156874061
20075	колька	0.5156960487
61605	пахталка	0.5157067776
6434	черевик	0.515827775
4566	башка	0.5159491301
52523	жаровня	0.5159678459
36802	рухляк	0.5164769888
18384	киянка	0.5164905787
24174	моква	0.5165099502
56651	газончик	0.5170742869
4419	брус	0.5171171427
59676	наспинник	0.5171799064
27642	нинка	0.5174376369
50634	водовоз	0.5175873041
60382	охтянка	0.5176697373
29514	охулка	0.5176757574
46278	тюфяк	0.5176884532
53857	ячменник	0.5178312063
42907	скала	0.5183669329
18069	картон	0.5183777213
20931	кафан	0.518596828
18760	кожан	0.5186519623
41738	степс	0.5187276006
47412	утюг	0.5188905597
61172	пожарик	0.5190519094
41100	шквара	0.5190536976
60405	отопленец	0.5191127658
3085	алтар	0.5191543102
25321	мочалка	0.5192505717
18894	кольчугино	0.5192975402
4987	базил	0.5195050836
53457	аталай	0.5195140839
60297	осым	0.5198655128
63147	шалаболка	0.5198804736
34482	петиционер	0.5201245546
14794	хлюст	0.5201974511
57815	клейщик	0.5202350616
13697	глыба	0.5202999711
32817	паволока	0.5204077959
50485	воротила	0.5204737782
54719	бочарня	0.5204761624
55035	черемиска	0.5204862356
53954	аликазган	0.5206645727
12703	грат	0.5209072232
30055	олениха	0.5210155845
47347	тятька	0.5210223794
57384	иануарий	0.5214022994
5699	бантик	0.5215273499
13180	градинка	0.521625042
6636	цементник	0.5216476321
22690	лакомка	0.5217975378
53713	алица	0.5218158364
21117	конурка	0.521936357
63809	шпандырь	0.5219926834
58008	копанцы	0.5220963359
59070	мюльщик	0.522110939
34307	поварня	0.5224941373
14499	гузно	0.5225989819
6933	чубук	0.5226432085
17375	кардан	0.5227202177
51073	земляничка	0.5228098035
14419	гичка	0.5228250027
51706	живец	0.5231050849
46426	томпо	0.5231379867
59046	миротворица	0.5232130289
39294	радиомачта	0.5232276917
40730	свал	0.5232363343
46218	тойба	0.5233092904
6432	чухна	0.5233890414
53727	армира	0.5234513879
53483	алхазур	0.5237028599
19916	калинка	0.5238205791
57055	губастик	0.52386868
61403	помольщик	0.5240715742
6036	борацит	0.52409935
59060	мокричник	0.5241538286
20053	кадушка	0.5241578221
18240	каратай	0.5244507194
30134	погреб	0.5246472359
57665	клубничник	0.524656415
15605	хамовник	0.5249268413
28888	обойщик	0.5251606107
18848	кирим	0.5251793861
48011	ушкан	0.5252122283
20261	камаши	0.5252593756
45926	тынзей	0.5254119635
41299	саженка	0.5254243612
43033	шутиха	0.5254605412
5294	базыр	0.5256088972
35572	пирожница	0.5256109238
43087	ставня	0.5257496834
60215	ошлань	0.5258156061
62863	рединка	0.5258843303
16339	игрушечник	0.526066184
18957	каталка	0.5261409283
58457	корчемник	0.5261521935
58085	кельня	0.5262395144
8195	дивинил	0.5262462497
64468	шипорез	0.5262775421
6522	чижик	0.5263765454
20875	камин	0.5264596939
29081	оратай	0.5266004801
31869	птичник	0.5266203284
55005	чулочник	0.5266268849
56108	фаял	0.5267689228
2658	акав	0.5268316269
14715	хижинка	0.5269414783
52967	аркен	0.5271482468
19854	козон	0.527186811
42456	сопля	0.5272542834
30519	перекоп	0.5272672772
49391	верхняк	0.5273236036
42137	шпик	0.5273325443
32575	плотовщик	0.5274502039
27971	обшлаг	0.5274987221
64470	сундучник	0.5275591016
18546	курушка	0.5275779963
3087	айса	0.5276126266
7037	червоводня	0.5277124047
52839	автоцех	0.5278486609
17966	кукурузник	0.5278519988
20681	кафтанчик	0.5280066133
60561	отарщик	0.5280092955
59711	наголенник	0.5280870795
18285	купель	0.528175652
49787	ветошник	0.5282593369
17696	куса	0.5282598138
9239	денник	0.5282785892
53723	альви	0.528393805
53594	апсель	0.5284138918
19954	козлы	0.5284376144
52820	аскат	0.5284945369
3631	булыжник	0.5285491347
41810	свинарник	0.528550446
37276	руст	0.5286278725
36429	псарня	0.5286980867
62930	разрисовщик	0.5287268758
5766	бомбочка	0.528840363
59948	никелировщик	0.528924644
58998	медоварня	0.5290892124
5918	брусничник	0.5291635394
62057	паклен	0.5295186639
45965	трак	0.5295318365
51388	жеребей	0.5297864079
30052	поставец	0.5298758149
7386	чурбан	0.5299243927
42161	склянка	0.5299441218
50477	вестовщик	0.5301257372
48927	ватман	0.5301747918
20611	кошница	0.5302701592
55350	дражник	0.5303506851
44434	стренга	0.5303627253
54120	атыф	0.530365169
21138	камзол	0.5303769112
11759	фонарщик	0.5304341316
17321	кум	0.5306994319
41095	щебень	0.5308938622
16664	ипат	0.5310854316
12880	голубец	0.5311882496
48635	владимирец	0.5312465429
20524	каменщик	0.5313640237
5036	бабка	0.5313737988
42652	спасатель	0.5318546891
17433	каптал	0.5319634676
61773	плавщик	0.5320959687
